X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
0.071335049,-0.676491448,1.336661154,0.621524481,1.917851556,5.513472903,0.395590456,2.939652755,0.189441015,5.570422039,0.036942408,0.438779846,0.091542539,0.084193494,0.196678828,0.487366146,0.060944668,0.452882919,0.151019651,0.201928402,0.510448115,0.291820983,0.403554554,0
-0.123657106,0.332213769,0.752885873,0.675281708,2.07959245,8.241864,0.614490363,1.299907312,0.385509637,0.533573931,0.003709452,0.01477955,0.002386943,0.250985457,0.212299548,0.136609659,0.362260042,0.766333381,0.233105635,0.007410896,0.012060232,0.179675793,1.554059567,0
0.241760252,0.277353386,2.200114967,0.649125076,1.850018429,3.3296429,0.336185811,3.526558541,0.663814189,3.29661713,-0.001135377,-0.015876276,-0.003419835,0.071514065,0.072897307,0.219571779,0.021920249,0.229941411,0.066025319,0.014755546,0.043891044,0.462672786,0.331997615,0
0.003661105,-0.000484962,0.064387646,0.404292851,0.678677184,7.802051241,0.519415304,3.422424673,0.480584696,2.750407292,0.005982994,0.0392003,0.012854147,0.152626231,0.294847088,0.63346342,0.101990882,0.67201738,0.219122032,0.083807624,0.161349933,0.317026189,0.46545243,1
-0.061232781,-0.262968958,0.205152431,0.236085687,0.309047341,21.30709141,0.544172066,3.026231169,0.455827934,2.356696698,-0.06440113,-0.426969289,-0.10807006,0.150833167,0.121703459,0.204227784,0.120394621,0.669534471,0.202031454,0.151812762,0.278979338,0.198795327,0.595920186,1
0.326872888,-0.143481206,0.280412679,0.773177962,3.408742675,7.7853085,0.909471779,1.322010428,0.090528221,0.881301944,-0.023592063,-0.616921957,-0.064659593,0.038241567,0.016230657,0.04448393,0.303183637,0.440708484,0.83094602,0.036005633,0.039589609,0.166128715,0.364865622,1
0.129609668,0.475126911,0.285497408,0.874513622,6.968992428,6.89803638,0.638360491,0.907680248,0.361639509,0.68828859,-0.042022124,-0.70259227,-0.045063406,0.059810115,0.306234679,0.328397906,0.154295488,0.219391659,0.165462368,0.027615805,0.043260517,0.165770765,0.932511058,1
0.402717109,-0.119193274,39.4826196,1.168158329,-6.946776517,7.524567333,0.70454979,0.732213111,0.29545021,0.556383914,-0.069153699,0.415273382,-0.154791705,-0.166525721,0.040034816,0.089612811,0.169186295,0.175829196,0.378701868,0.014544757,0.020644044,0.113767118,0.446753262,1
0.079207828,0.00962661,0.373147886,0.578946553,1.374995403,4.529698615,0.77702227,1.585668607,0.22297773,0.764994571,-0.038794289,-0.665443471,-0.180467792,0.058298399,0.096446956,0.448663184,0.402153388,0.820674037,1.87078398,0.023645333,0.030430702,0.381322314,0.214965166,1
0.193850377,-0.239116025,-0.065794651,0.944980679,17.17543339,21.64937979,0.819018953,1.19076837,0.180981047,0.949764459,-0.054545347,-1.390352453,-0.141971987,0.039231309,0.130040279,0.338472072,0.165764204,0.241003911,0.431455192,0.017674934,0.021580617,0.048880047,0.384197958,1
0.096163754,-0.319740142,-0.101792039,1.430794595,-3.321291892,2.954038319,0.72547842,2.340863817,0.27452158,0.54559236,0.002025413,0.011105849,0.00323585,0.182373527,0.056454888,0.090193748,0.556388924,1.795271457,0.888900938,0.00085094,0.001172937,0.236595557,0.625929055,1
0.383679544,0.067403879,-0.313054957,0.745581906,2.930538057,10.99635514,0.429833283,1.225578531,0.570166717,0.650288946,0.022545107,0.130768054,0.024452544,0.172405308,0.100935055,0.109474705,0.201764803,0.575289585,0.218835194,0.078633562,0.182939677,0.121970803,0.921994309,1
0.000911226,0.053654583,1.142218569,0.519562773,1.081437372,3.089031953,0.511873219,1.287074421,0.488126781,0.531154443,0.027053594,0.390155905,0.06604418,0.06934047,0.10588353,0.258486579,0.300631561,0.755919978,0.733912285,0.001655159,0.003233532,0.62307392,0.409628735,1
-0.131216589,-0.325147815,-0.207136721,1.303064184,-4.29963108,4.45215249,0.405235473,0.317488752,0.594764527,0.224838699,-0.160385112,-3.22382068,-0.327870403,0.04975001,0.033335747,0.068147253,0.118256435,0.092650053,0.241748032,0.027783406,0.06856114,0.172370984,0.489172277,1
-0.218071718,-0.418514352,-0.60399612,0.955913536,21.68269911,39.57301186,0.215318076,0.8072124,0.784681924,0.498850552,0.023504441,5.557802524,0.084868779,0.004229089,0.003104715,0.011210366,0.082253295,0.308361848,0.2969965,0.002494042,0.01158306,0.026435181,0.276950385,1
0.239589338,0.145514927,0.366291103,0.582866243,1.397312572,6.907207736,0.752744338,1.813258709,0.247255662,1.470150516,0.016234315,0.230984793,0.032362835,0.070283047,0.12283909,0.244877671,0.142435687,0.343108193,0.283943158,0.361919027,0.480799402,0.248386838,0.501634509,1
-0.050967234,0.577234125,-0.511660434,1.213706897,-5.67930616,14.14751363,0.242664786,0.333639299,0.757335214,0.132013376,-0.130492012,-2.368449352,-0.118677354,0.055095969,0.039390198,0.035823836,0.146647927,0.201625923,0.133370523,0.025236405,0.103996982,0.058237947,1.099552757,1
0.055244003,-0.910350667,-0.948947578,0.058798605,0.146749619,16.0347682,0.039220424,0.102184067,0.707916931,0.639413651,-0.019737722,0.103318683,-0.09472377,-0.191037299,0.015754415,0.075607388,0.046662477,0.121573436,0.223938997,0.066681675,1.700177328,1.060645594,0.208371375,0
0.448409136,-0.928622132,-0.978514766,0.166163506,0.697594747,7.290402973,0.182061452,0.337576988,0.417443391,0.966988632,0.059998389,0.214574327,0.033195728,0.279615879,0.048599842,0.026889174,0.06104193,0.113183493,0.033773095,0.221134701,1.214615716,0.825491904,1.807412974,0
0.079629382,-0.077672944,-0.162926412,2.024052101,5.455820457,24.076234,1.703942402,4.993990828,0.397214116,0.945963956,0.12212292,0.404546258,0.047059389,0.301876282,0.599192631,0.230895553,0.280024359,0.820707954,0.107905832,0.163910352,0.096194773,0.020520586,2.595080859,0
0.109509111,0.400374342,1.046043044,1.54523832,7.890601582,36.47645917,1.080877756,1.973696952,0.545326916,0.322228278,0.016262132,0.106894192,0.012998041,0.152132982,0.413944647,0.330858797,0.278207605,0.508010733,0.222366527,0.037656341,0.034838668,0.017741562,1.251121779,0
0.144416051,6.55239717,16.02391625,3.464291827,10.00613269,7.628071818,0.633652382,1.022527159,0.435199413,0.655469311,0.024955092,0.084717143,0.016165004,0.29456956,0.155242258,0.10056031,0.158611191,0.255951457,0.102742583,0.059331879,0.093634744,0.03784171,1.543772663,1
0.184636279,27.35352039,2003.01399,0.064327408,0.305498524,18.78917868,0.033928211,0.068329445,0.355585659,1.226922811,0.02119363,0.179469918,0.064387108,0.118090153,0.017599105,0.053466796,0.035199739,0.070890229,0.106938235,0.086743109,2.556666182,0.827363103,0.329159528,0
0.117372621,0.398582958,1.898454676,1.086060506,1.55568796,6.03907186,0.701333899,4.238482163,0.802200045,0.757275222,0.10325628,0.625038025,0.118182255,0.165199997,0.34953523,0.400061494,0.072495007,0.438120552,0.082974357,0.034521476,0.049222597,0.152466974,0.873703756,1
0.021658469,0.205604746,0.185455532,0.107059776,0.21700151,42.95346369,0.082327756,0.251279593,0.636947015,0.618476625,-0.02519837,-13.75345054,-0.044091381,0.001832149,0.060034496,0.10504663,0.160418972,0.489628481,0.280696493,0.023099337,0.280577761,0.217458044,0.571503299,0
